2016-12-07,5.55,5.589,5.55,5.589,400,5.589
2016-12-06,5.944,5.944,5.944,5.944,200,5.944
2016-12-05,5.50,5.505,5.50,5.505,5300,5.505
2016-12-02,5.80,6.00,5.80,6.00,5200,6.00
2016-12-01,6.00,6.00,5.50,5.50,500,5.50
2016-11-30,6.00,6.00,6.00,6.00,1700,6.00
2016-11-29,6.00,6.00,5.753,5.753,13900,5.753
2016-11-28,5.03,6.10,4.671,6.10,1300,6.10
2016-11-25,5.59,5.59,5.22,5.22,500,5.22
2016-11-23,5.27,5.27,4.95,4.95,1300,4.95
2016-11-22,5.10,5.32,5.10,5.232,3100,5.232
2016-11-21,5.422,5.422,5.293,5.293,2500,5.293
2016-11-18,5.29,5.29,5.29,5.29,200,5.29
2016-11-17,5.88,5.88,5.86,5.86,500,5.86
2016-11-16,5.86,5.964,5.67,5.67,8300,5.67
2016-11-15,6.023,6.023,5.85,5.85,2000,5.85
2016-11-14,6.041,6.041,6.041,6.041,000,6.041
2016-11-11,6.25,6.25,6.041,6.041,1200,6.041
2016-11-10,6.139,6.139,6.139,6.139,000,6.139
2016-11-09,6.139,6.139,6.139,6.139,1100,6.139
2016-11-08,6.30,6.30,6.30,6.30,200,6.30
2016-11-07,6.30,6.30,6.157,6.157,700,6.157
2016-11-04,6.03,6.30,6.03,6.30,4300,6.30
2016-11-03,6.03,6.03,6.03,6.03,000,6.03
2016-11-02,6.03,6.03,6.03,6.03,000,6.03
2016-11-01,6.30,6.30,5.85,6.03,1200,6.03
2016-10-31,6.496,6.496,6.496,6.496,200,6.496
2016-10-28,6.30,6.30,6.30,6.30,300,6.30
2016-10-27,6.31,6.327,6.30,6.30,600,6.30
2016-10-26,6.31,6.31,5.85,5.854,1500,5.854
2016-10-25,6.35,6.35,6.35,6.35,000,6.35
2016-10-24,6.31,6.35,6.31,6.35,1700,6.35
2016-10-21,6.35,6.35,6.35,6.35,200,6.35
2016-10-20,6.25,6.25,6.098,6.098,300,6.098
2016-10-19,6.33,6.33,5.85,5.855,2000,5.855
2016-10-18,6.07,6.07,6.07,6.07,000,6.07
2016-10-17,6.07,6.07,6.07,6.07,000,6.07
2016-10-14,6.141,6.141,6.07,6.07,700,6.07
2016-10-13,6.25,6.25,5.805,5.805,500,5.805
2016-10-12,6.33,6.35,6.33,6.35,300,6.35
2016-10-11,6.30,6.30,6.08,6.30,800,6.30
2016-10-10,6.49,6.49,6.18,6.18,400,6.18
2016-10-07,6.138,6.138,6.138,6.138,000,6.138
2016-10-06,6.04,6.138,6.02,6.138,500,6.138
2016-10-05,5.68,6.30,5.68,6.30,600,6.30
2016-10-04,6.25,6.30,6.25,6.29,4600,6.29
2016-10-03,6.30,6.30,6.22,6.22,4200,6.22
2016-09-30,6.188,6.28,6.15,6.15,1200,6.15
2016-09-29,6.20,6.20,6.15,6.15,3000,6.15
2016-09-28,6.15,6.16,6.15,6.16,200,6.16
2016-09-27,6.20,6.225,6.20,6.225,1300,6.225
2016-09-26,6.29,6.29,6.29,6.29,000,6.29
2016-09-23,6.29,6.29,6.29,6.29,300,6.29
2016-09-22,6.201,6.201,6.201,6.201,200,6.201
2016-09-21,6.056,6.20,6.056,6.20,600,6.20
2016-09-20,6.249,6.249,6.249,6.249,000,6.249
2016-09-19,6.30,6.30,6.249,6.249,5200,6.249
2016-09-16,6.12,6.30,6.05,6.30,15800,6.30
2016-09-15,6.13,6.13,6.13,6.13,000,6.13
2016-09-14,6.13,6.13,6.13,6.13,000,6.13
2016-09-13,6.15,6.15,6.121,6.13,3200,6.13
2016-09-12,6.215,6.215,6.15,6.15,400,6.15
2016-09-09,6.285,6.285,6.285,6.285,000,6.285
2016-09-08,6.285,6.285,6.285,6.285,000,6.285
2016-09-07,6.29,6.30,6.244,6.285,400,6.285
2016-09-06,6.29,6.31,6.15,6.15,6800,6.15
2016-09-02,6.30,6.30,6.30,6.30,1000,6.30
2016-09-01,6.30,6.30,6.30,6.30,000,6.30
2016-08-31,6.30,6.30,6.30,6.30,500,6.30
2016-08-30,6.30,6.30,6.30,6.30,100,6.30
2016-08-29,6.27,6.27,6.16,6.16,600,6.16
2016-08-26,6.132,6.132,6.132,6.132,1100,6.132
2016-08-25,6.37,6.37,6.22,6.29,10100,6.29
2016-08-24,6.28,6.47,6.25,6.25,29100,6.25
2016-08-23,6.28,6.37,6.28,6.37,3300,6.37
2016-08-22,6.49,6.50,6.28,6.28,6900,6.28
2016-08-19,6.50,6.50,6.50,6.50,400,6.50
2016-08-18,6.49,6.49,6.49,6.49,200,6.49
2016-08-17,6.50,6.50,6.40,6.40,10300,6.40
2016-08-16,6.55,6.55,6.408,6.408,400,6.408
2016-08-15,6.50,6.55,6.388,6.55,7600,6.55
2016-08-12,6.55,6.55,6.435,6.50,5700,6.50
2016-08-11,6.55,6.69,6.55,6.55,800,6.55
2016-08-10,6.42,6.463,6.42,6.463,1300,6.463
2016-08-09,6.389,6.50,6.389,6.49,5100,6.49
2016-08-08,6.40,6.40,6.40,6.40,1000,6.40
2016-08-05,6.12,6.55,6.12,6.355,7000,6.355
2016-08-04,6.159,6.159,6.159,6.159,000,6.159
2016-08-03,6.159,6.159,6.159,6.159,000,6.159
2016-08-02,6.25,6.25,6.159,6.159,300,6.159
2016-08-01,6.15,6.35,6.15,6.35,2700,6.35
2016-07-29,6.12,6.12,6.114,6.114,300,6.114
2016-07-28,6.50,6.50,5.75,6.00,4100,6.00
2016-07-27,5.705,5.705,5.705,5.705,100,5.705
2016-07-26,6.14,6.14,5.85,5.85,400,5.85
